Roll Number,Official School Name,Coeducational/Singlesex,Ethos,Language,County,School Planning Area,School Type,Patron,Households associated with the current pupils,Validated responses from parents with children in primary school,Response rate from parents with children in primary school,Overall margin of error associated with the current pupils,Preference for singlesex from parents with children in primary school,Preference for coeducational from parents with children in primary school,Preference for multidenominational from parents with children in primary school,Preference for denominational from parents with children in primary school,Preference for Irish from parents with children in primary school,Preference for English from parents with children in primary school,Preference for singlesex from parents with children in primary school (%),Preference for coeducational from parents with children in primary school (%),Preference for multidenominational from parents with children in primary school (%),Preference for denominational from parents with children in primary school (%),Preference for Irish from parents with children in primary school (%),Preference for English from parents with children in primary school (%),Validated responses from parents of children not yet in school,Preference for singlesex from parents of children not yet in school,Preference for coeducational from parents of children not yet in school,Preference for multidenominational from parents of children not yet in school,Preference for denominational from parents of children not yet in school,Preference for Irish from parents of children not yet in school,Preference for English from parents of children not yet in school,Preference for singlesex from parents of children not yet in school (%),Preference for coeducational from parents of children not yet in school (%),Preference for multidenominational from parents of children not yet in school (%),Preference for denominational from parents of children not yet in school (%),Preference for Irish from parents of children not yet in school (%),Preference for English from parents of children not yet in school (%)
19938T,St Josephs,Co educational,Denominational,English,Dublin,Dunlaoghaire,Mainstream,Archbishop of Dublin,281,100,36%,8%,3,97,65,35,12,88,3%,97%,65%,35%,12%,88%,31,3,28,13,18,5,26,10%,90%,42%,58%,16%,84%
20121A,Carmona Special National School,Co educational,Denominational,English,Dublin,Dunlaoghaire,Special School,Archbishop of Dublin & St John of God Hospitaller Order,37,8,22%,25%,1,7,3,5,1,7,12%,88%,38%,62%,12%,88%,,,,,,,,,,,,,
20141G,The Harold School,Co educational,Denominational,English,Dublin,Dunlaoghaire,Mainstream,Archbishop of Dublin,462,156,34%,7%,2,154,106,50,29,127,1%,99%,68%,32%,19%,81%,109,5,104,71,38,23,86,5%,95%,65%,35%,21%,79%
20381D,Red Door Special School,Co educational,Multi denominational,English,Dublin,Dunlaoghaire,Special School,Irish Autism Action,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20503O,Dun Laoghaire Etns,Co educational,Multi denominational,English,Dublin,Dunlaoghaire,Mainstream,Educate Together,137,61,45%,10%,0,61,60,1,5,56,0%,100%,98%,2%,8%,92%,,,,,,,,,,,,,
18038B,St Margarets N S,Co educational,Denominational,English,Dublin,FinglasEast_BallymunD11,Mainstream,Archbishop of Dublin,58,15,26%,20%,0,15,4,11,1,14,0%,100%,27%,73%,7%,93%,,,,,,,,,,,,,
18682F,St Canices B N S,Single sex,Denominational,English,Dublin,FinglasEast_BallymunD11,Mainstream,Archbishop of Dublin,309,90,29%,9%,44,46,27,63,16,74,49%,51%,30%,70%,18%,82%,35,15,20,8,27,7,28,43%,57%,23%,77%,20%,80%
18683H,St Canices G N S,Single sex,Denominational,English,Dublin,FinglasEast_BallymunD11,Mainstream,Archbishop of Dublin,402,156,39%,7%,90,66,48,108,18,138,58%,42%,31%,69%,12%,88%,41,30,11,9,32,4,37,73%,27%,22%,78%,10%,90%
19208F,Holy Spirit B N S,Single sex,Denominational,English,Dublin,FinglasEast_BallymunD11,Mainstream,Archbishop of Dublin,197,61,31%,10%,32,29,14,47,9,52,52%,48%,23%,77%,15%,85%,64,37,27,12,52,6,58,58%,42%,19%,81%,9%,91%
19209H,Sn an Spioraid Naiomh C,Single sex,Denominational,English,Dublin,FinglasEast_BallymunD11,Mainstream,Archbishop of Dublin,211,62,29%,10%,33,29,19,43,9,53,53%,47%,31%,69%,15%,85%,,,,,,,,,,,,,
19430G,Scoil an tSeachtar Laoch,Co educational,Denominational,Irish,Dublin,FinglasEast_BallymunD11,Mainstream,Archbishop of Dublin,134,59,44%,11%,3,56,23,36,55,4,5%,95%,39%,61%,93%,7%,35,1,34,15,20,35,0,3%,97%,43%,57%,100%,0%
19431I,St Josephs Jnr,Co educational,Denominational,English,Dublin,FinglasEast_BallymunD11,Mainstream,Archbishop of Dublin,106,36,34%,13%,3,33,8,28,6,30,8%,92%,22%,78%,17%,83%,,,,,,,,,,,,,
19583I,St Josephs Senior N S,Co educational,Denominational,English,Dublin,FinglasEast_BallymunD11,Mainstream,Archbishop of Dublin,129,32,25%,14%,2,30,8,24,4,28,6%,94%,25%,75%,12%,88%,,,,,,,,,,,,,
20059V,Mother Of Divine Grace,Co educational,Denominational,English,Dublin,FinglasEast_BallymunD11,Mainstream,Archbishop of Dublin,357,114,32%,8%,3,111,40,74,10,104,3%,97%,35%,65%,9%,91%,45,4,41,14,31,6,39,9%,91%,31%,69%,13%,87%
20220C,Gaelscoil Ui Earcain,Co educational,Denominational,Irish,Dublin,FinglasEast_BallymunD11,Mainstream,An Foras Pátrúnachta,184,70,38%,10%,2,68,27,43,63,7,3%,97%,39%,61%,90%,10%,33,2,31,17,16,32,1,6%,94%,52%,48%,97%,3%
17899C,Scoil Carmel,Co educational,Denominational,English,Dublin,Firhouse_Oldbawn,Mainstream,Archbishop of Dublin,268,137,51%,7%,3,134,50,87,17,120,2%,98%,36%,64%,12%,88%,59,0,59,20,39,6,53,0%,100%,34%,66%,10%,90%
17996A,Glen na Smol N S,Co educational,Denominational,English,Dublin,Firhouse_Oldbawn,Mainstream,Archbishop of Dublin,34,18,53%,18%,0,18,8,10,5,13,0%,100%,44%,56%,28%,72%,,,,,,,,,,,,,
19462T,Scoil Maelruain Junior,Co educational,Denominational,English,Dublin,Firhouse_Oldbawn,Mainstream,Archbishop of Dublin,324,114,35%,8%,1,113,42,72,15,99,1%,99%,37%,63%,13%,87%,53,0,53,18,35,4,49,0%,100%,34%,66%,8%,92%
19463V,Scoil Maelruain Senior,Co educational,Denominational,English,Dublin,Firhouse_Oldbawn,Mainstream,Archbishop of Dublin,342,84,25%,9%,0,84,27,57,13,71,0%,100%,32%,68%,15%,85%,,,,,,,,,,,,,
19543T,S N an Croi Ro Naofa,Co educational,Denominational,English,Dublin,Firhouse_Oldbawn,Mainstream,Archbishop of Dublin,184,49,27%,11%,1,48,9,40,6,43,2%,98%,18%,82%,12%,88%,,,,,,,,,,,,,
19565G,Scoil Treasa Firhouse,Co educational,Denominational,English,Dublin,Firhouse_Oldbawn,Mainstream,Archbishop of Dublin,322,135,42%,7%,3,132,47,88,16,119,2%,98%,35%,65%,12%,88%,,,,,,,,,,,,,
19613O,Scoil Cnoc Mhuire Sin,Co educational,Denominational,English,Dublin,Firhouse_Oldbawn,Mainstream,Archbishop of Dublin,126,33,26%,14%,0,33,4,29,9,24,0%,100%,12%,88%,27%,73%,,,,,,,,,,,,,
19617W,St Martin De Porres N S,Co educational,Denominational,English,Dublin,Firhouse_Oldbawn,Mainstream,Archbishop of Dublin,270,79,29%,9%,1,78,38,41,8,71,1%,99%,48%,52%,10%,90%,,,,,,,,,,,,,
19646G,Scoil Santain,Co educational,Denominational,Irish,Dublin,Firhouse_Oldbawn,Mainstream,Archbishop of Dublin,199,86,43%,9%,0,86,28,58,80,6,0%,100%,33%,67%,93%,7%,48,1,47,24,24,47,1,2%,98%,50%,50%,98%,2%
19652B,An Chroi Ro Naofa Sois,Co educational,Denominational,English,Dublin,Firhouse_Oldbawn,Mainstream,Archbishop of Dublin,144,30,21%,14%,1,29,9,21,2,28,3%,97%,30%,70%,7%,93%,,,,,,,,,,,,,
19775R,Scoil Cnoc Mhuire Junior,Co educational,Denominational,English,Dublin,Firhouse_Oldbawn,Mainstream,Archbishop of Dublin,131,31,24%,14%,0,31,5,26,6,25,0%,100%,16%,84%,19%,81%,,,,,,,,,,,,,
19872P,Scoil Chaitlin Maude,Co educational,Multi denominational,Irish,Dublin,Firhouse_Oldbawn,Mainstream,An Foras Pátrúnachta,211,81,38%,9%,5,76,25,56,78,3,6%,94%,31%,69%,96%,4%,38,2,36,11,27,38,0,5%,95%,29%,71%,100%,0%
19878E,Holy Rosary Primary School,Co educational,Denominational,English,Dublin,Firhouse_Oldbawn,Mainstream,Archbishop of Dublin,368,123,33%,7%,1,122,52,71,14,109,1%,99%,42%,58%,11%,89%,53,3,50,28,25,4,49,6%,94%,53%,47%,8%,92%
20411J,Firhouse Educate Together National School,Co educational,Multi denominational,English,Dublin,Firhouse_Oldbawn,Mainstream,Educate Together,278,127,46%,7%,0,127,116,11,11,116,0%,100%,91%,9%,9%,91%,,,,,,,,,,,,,
20412L,Gaelscoil na Giúise,Co educational,Multi denominational,Irish,Dublin,Firhouse_Oldbawn,Mainstream,An Foras Pátrúnachta,204,102,50%,8%,1,101,85,17,91,11,1%,99%,83%,17%,89%,11%,48,0,48,37,11,47,1,0%,100%,77%,23%,98%,2%
20468P,St Dominic's National School,Co educational,Denominational,English,Dublin,Firhouse_Oldbawn,Mainstream,Archbishop of Dublin,289,112,39%,8%,2,110,54,58,13,99,2%,98%,48%,52%,12%,88%,,,,,,,,,,,,,
15284B,Taney N S,Co educational,Denominational,English,Dublin,Goatstown_Stillorgan_DLR,Mainstream,Archbishop of Dublin & Bishop of Glendalough COI,276,117,42%,8%,0,117,67,50,7,110,0%,100%,57%,43%,6%,94%,49,0,49,31,18,2,47,0%,100%,63%,37%,4%,96%
16794G,St Brigids N S,Co educational,Denominational,English,Dublin,Goatstown_Stillorgan_DLR,Mainstream,Archbishop of Dublin & Bishop of Glendalough COI,74,38,51%,13%,0,38,28,10,5,33,0%,100%,74%,26%,13%,87%,77,8,69,40,37,15,62,10%,90%,52%,48%,19%,81%
16893I,S N Naomh Lorcan,Single sex,Denominational,English,Dublin,Goatstown_Stillorgan_DLR,Mainstream,Archbishop of Dublin,315,137,44%,7%,29,108,67,70,11,126,21%,79%,49%,51%,8%,92%,,,,,,,,,,,,,
17470I,St Raphaelas N S,Single sex,Denominational,English,Dublin,Goatstown_Stillorgan_DLR,Mainstream,Archbishop of Dublin,307,102,33%,8%,37,65,46,56,8,94,36%,64%,45%,55%,8%,92%,,,,,,,,,,,,,
17979A,S N Cnoc Ainbhil,Single sex,Denominational,English,Dublin,Goatstown_Stillorgan_DLR,Mainstream,Archbishop of Dublin,359,119,33%,8%,42,77,50,69,10,109,35%,65%,42%,58%,8%,92%,34,11,23,16,18,2,32,32%,68%,47%,53%,6%,94%
19319O,St Olaf's National School,Co educational,Denominational,English,Dublin,Goatstown_Stillorgan_DLR,Mainstream,Archbishop of Dublin,419,161,38%,6%,5,156,88,73,20,141,3%,97%,55%,45%,12%,88%,61,4,57,40,21,7,54,7%,93%,66%,34%,11%,89%
19374W,Our Lady's Grove Primary School,Co educational,Denominational,English,Dublin,Goatstown_Stillorgan_DLR,Mainstream,Archbishop of Dublin,285,125,44%,7%,3,122,71,54,12,113,2%,98%,57%,43%,10%,90%,51,1,50,28,23,3,48,2%,98%,55%,45%,6%,94%
19904C,Holy Cross N S,Co educational,Denominational,English,Dublin,Goatstown_Stillorgan_DLR,Mainstream,Archbishop of Dublin,184,50,27%,11%,0,50,28,22,2,48,0%,100%,56%,44%,4%,96%,,,,,,,,,,,,,
19922E,Our Ladys N S,Co educational,Denominational,English,Dublin,Goatstown_Stillorgan_DLR,Mainstream,Archbishop of Dublin,133,50,38%,11%,4,46,24,26,7,43,8%,92%,48%,52%,14%,86%,35,3,32,16,19,2,33,9%,91%,46%,54%,6%,94%
20518E,Gaelscoil Laighean,Co educational,Multi denominational,Irish,Dublin,Goatstown_Stillorgan_DLR,Mainstream,An Foras Pátrúnachta,85,49,58%,11%,0,49,46,3,45,4,0%,100%,94%,6%,92%,8%,31,0,31,25,6,30,1,0%,100%,81%,19%,97%,3%
13815T,Howth Rd Mxd N S,Co educational,Denominational,English,Dublin,Killester_Raheny_Clontarf,Mainstream,Joint patronage between the Kirk Session of Clontarf and the Scots Presbyterian Church,67,31,46%,14%,0,31,26,5,3,28,0%,100%,84%,16%,10%,90%,,,,,,,,,,,,,
16792C,St Brigids Convent N S,Single sex,Denominational,English,Dublin,Killester_Raheny_Clontarf,Mainstream,Archbishop of Dublin,306,135,44%,7%,26,109,78,57,25,110,19%,81%,58%,42%,19%,81%,,,,,,,,,,,,,
17148D,S N Eoin Baisde Girls Senior,Single sex,Denominational,English,Dublin,Killester_Raheny_Clontarf,Mainstream,Archbishop of Dublin,334,152,46%,7%,32,120,85,67,18,134,21%,79%,56%,44%,12%,88%,,,,,,,,,,,,,
17730I,S N na Lanai Glasa,Co educational,Denominational,English,Dublin,Killester_Raheny_Clontarf,Mainstream,Archbishop of Dublin & Bishop of Glendalough COI,182,87,48%,9%,2,85,68,19,7,80,2%,98%,78%,22%,8%,92%,45,0,45,32,13,7,38,0%,100%,71%,29%,16%,84%
17732M,Scoil Chiarain,Single sex,Denominational,English,Dublin,Killester_Raheny_Clontarf,Mainstream,Archbishop of Dublin,136,48,35%,12%,17,31,18,30,7,41,35%,65%,38%,62%,15%,85%,,,,,,,,,,,,,
17936F,Sn Eoin Baisde Boys Senior School,Single sex,Denominational,English,Dublin,Killester_Raheny_Clontarf,Mainstream,Archbishop of Dublin,289,131,45%,7%,26,105,78,53,21,110,20%,80%,60%,40%,16%,84%,,,,,,,,,,,,,
17976R,Scoil Assaim Boys Seniors,Single sex,Denominational,English,Dublin,Killester_Raheny_Clontarf,Mainstream,Archbishop of Dublin,256,116,45%,8%,24,92,61,55,17,99,21%,79%,53%,47%,15%,85%,,,,,,,,,,,,,
17977T,Scoil Aine Convent Senior,Single sex,Denominational,English,Dublin,Killester_Raheny_Clontarf,Mainstream,Archbishop of Dublin,260,104,40%,8%,19,85,49,55,14,90,18%,82%,47%,53%,13%,87%,,,,,,,,,,,,,
17978V,Naiscoil Ide,Co educational,Denominational,English,Dublin,Killester_Raheny_Clontarf,Mainstream,Archbishop of Dublin,266,120,45%,7%,10,110,65,55,24,96,8%,92%,54%,46%,20%,80%,104,7,97,55,49,24,80,7%,93%,53%,47%,23%,77%
18317F,Central Remedial Clinic,Co educational,Denominational,English,Dublin,Killester_Raheny_Clontarf,Special School,Central Remedial Clinic,78,18,23%,18%,3,15,8,10,5,13,17%,83%,44%,56%,28%,72%,,,,,,,,,,,,,
18360G,Scoil Bhreandain,Single sex,Denominational,English,Dublin,Killester_Raheny_Clontarf,Mainstream,Archbishop of Dublin,123,37,30%,13%,8,29,9,28,6,31,22%,78%,24%,76%,16%,84%,,,,,,,,,,,,,
18361I,Sn Caitriona Girls,Single sex,Denominational,English,Dublin,Killester_Raheny_Clontarf,Mainstream,Archbishop of Dublin,160,61,38%,10%,12,49,22,39,12,49,20%,80%,36%,64%,20%,80%,,,,,,,,,,,,,
18362K,S N Caitriona Naionain,Co educational,Denominational,English,Dublin,Killester_Raheny_Clontarf,Mainstream,Archbishop of Dublin,143,59,41%,11%,5,54,18,41,12,47,8%,92%,31%,69%,20%,80%,,,,,,,,,,,,,
18646B,Springdale N S,Co educational,Denominational,English,Dublin,Killester_Raheny_Clontarf,Mainstream,Archbishop of Dublin & Bishop of Glendalough COI,148,82,55%,9%,1,81,70,12,13,69,1%,99%,85%,15%,16%,84%,42,0,42,32,10,2,40,0%,100%,76%,24%,5%,95%
18968A,St Malachys B N S,Single sex,Denominational,English,Dublin,Killester_Raheny_Clontarf,Mainstream,Archbishop of Dublin,115,35,30%,13%,16,19,6,29,9,26,46%,54%,17%,83%,26%,74%,,,,,,,,,,,,,
18969C,St Eithnes Senior Girls Ns,Single sex,Denominational,English,Dublin,Killester_Raheny_Clontarf,Mainstream,Archbishop of Dublin,81,30,37%,14%,21,9,6,24,4,26,70%,30%,20%,80%,13%,87%,,,,,,,,,,,,,
19006Q,Eoin Baisde B Sois,Single sex,Denominational,English,Dublin,Killester_Raheny_Clontarf,Mainstream,Archbishop of Dublin,258,139,54%,7%,28,111,76,63,22,117,20%,80%,55%,45%,16%,84%,,,,,,,,,,,,,
19007S,Eoin Baisde C Naoidh,Single sex,Denominational,English,Dublin,Killester_Raheny_Clontarf,Mainstream,Archbishop of Dublin,200,139,70%,7%,31,108,77,62,26,113,22%,78%,55%,45%,19%,81%,33,6,27,16,17,5,28,18%,82%,48%,52%,15%,85%
19037E,St Monicas N S,Single sex,Denominational,English,Dublin,Killester_Raheny_Clontarf,Mainstream,Archbishop of Dublin,42,14,33%,20%,4,10,4,10,1,13,29%,71%,29%,71%,7%,93%,32,5,27,11,21,2,30,16%,84%,34%,66%,6%,94%
19308J,St Brigids Boys N S,Single sex,Denominational,English,Dublin,Killester_Raheny_Clontarf,Mainstream,Archbishop of Dublin,231,132,57%,7%,26,106,73,59,21,111,20%,80%,55%,45%,16%,84%,48,6,42,33,15,7,41,12%,88%,69%,31%,15%,85%
19309L,Scoil Neasain,Co educational,Denominational,Irish,Dublin,Killester_Raheny_Clontarf,Mainstream,Archbishop of Dublin,158,82,52%,9%,0,82,49,33,76,6,0%,100%,60%,40%,93%,7%,76,3,73,50,26,73,3,4%,96%,66%,34%,96%,4%
19373U,St Michaels Hse Sp Sch,Co educational,Denominational,English,Dublin,Killester_Raheny_Clontarf,Special School,St Michael's House,46,11,24%,22%,1,10,8,3,1,10,9%,91%,73%,27%,9%,91%,,,,,,,,,,,,,
19777V,Gaelscoil Mide,Co educational,Denominational,Irish,Dublin,Killester_Raheny_Clontarf,Mainstream,Archbishop of Dublin,155,72,47%,10%,2,70,26,46,68,4,3%,97%,36%,64%,94%,6%,51,0,51,24,27,51,0,0%,100%,47%,53%,100%,0%
19935N,Scoil Eoin,Co educational,Denominational,English,Dublin,Killester_Raheny_Clontarf,Mainstream,Archbishop of Dublin,103,34,33%,14%,2,32,13,21,9,25,6%,94%,38%,62%,26%,74%,,,,,,,,,,,,,
19954R,North Bay Educate Together Ns,Co educational,Multi denominational,English,Dublin,Killester_Raheny_Clontarf,Mainstream,Educate Together,141,83,59%,9%,0,83,79,4,11,72,0%,100%,95%,5%,13%,87%,31,0,31,30,1,12,19,0%,100%,97%,3%,39%,61%
20064O,Our Lady Of Consolation Ns,Single sex,Denominational,English,Dublin,Killester_Raheny_Clontarf,Mainstream,Archbishop of Dublin,268,125,47%,7%,22,103,54,71,20,105,18%,82%,43%,57%,16%,84%,55,11,44,15,40,9,46,20%,80%,27%,73%,16%,84%
20279M,St Michael's House Special National School Foxfield,Co educational,Multi denominational,English,Dublin,Killester_Raheny_Clontarf,Special School,St Michael's House,58,11,19%,22%,0,11,8,3,2,9,0%,100%,73%,27%,18%,82%,,,,,,,,,,,,,
20281W,St Benedicts and St Marys National School,Co educational,Denominational,English,Dublin,Killester_Raheny_Clontarf,Mainstream,Archbishop of Dublin,125,32,26%,14%,1,31,7,25,6,26,3%,97%,22%,78%,19%,81%,,,,,,,,,,,,,
20375I,Abacas Kilbarrack,Co educational,Multi denominational,English,Dublin,Killester_Raheny_Clontarf,Special School,Irish Autism Action,51,13,26%,21%,2,11,8,5,3,10,15%,85%,62%,38%,23%,77%,,,,,,,,,,,,,
20525B,Killester Raheny Clontarf Educate Together National School,Co educational,Multi denominational,English,Dublin,Killester_Raheny_Clontarf,Mainstream,Educate Together,133,73,55%,10%,1,72,71,2,14,59,1%,99%,97%,3%,19%,81%,58,1,57,55,3,9,49,2%,98%,95%,5%,16%,84%
16629O,Kilternan Church Of Ireland Ns,Co educational,Denominational,English,Dublin,Kilternan,Mainstream,Archbishop of Dublin & Bishop of Glendalough COI,137,63,46%,10%,0,63,28,35,0,63,0%,100%,44%,56%,0%,100%,38,2,36,15,23,2,36,5%,95%,39%,61%,5%,95%
17507F,S N Padraig Naofa,Co educational,Denominational,English,Dublin,Kilternan,Mainstream,Archbishop of Dublin,130,55,42%,11%,1,54,29,26,5,50,2%,98%,53%,47%,9%,91%,,,,,,,,,,,,,
18806U,Kilternan N S 1,Co educational,Denominational,English,Dublin,Kilternan,Mainstream,Archbishop of Dublin,206,80,39%,9%,1,79,34,46,10,70,1%,99%,42%,58%,12%,88%,39,0,39,16,23,4,35,0%,100%,41%,59%,10%,90%
00714P,Lucan B N S,Single sex,Denominational,English,Dublin,Lucan,Mainstream,Archbishop of Dublin,416,139,33%,7%,58,81,49,90,18,121,42%,58%,35%,65%,13%,87%,,,,,,,,,,,,,
12014D,St Andrews N S,Co educational,Denominational,English,Dublin,Lucan,Mainstream,Archbishop of Dublin & Bishop of Glendalough COI,281,76,27%,9%,3,73,37,39,6,70,4%,96%,49%,51%,8%,92%,,,,,,,,,,,,,
13447Q,Scoil Mhuire,Single sex,Denominational,English,Dublin,Lucan,Mainstream,Archbishop of Dublin,467,176,38%,6%,88,88,60,116,17,159,50%,50%,34%,66%,10%,90%,111,26,85,40,71,12,99,23%,77%,36%,64%,11%,89%
19032R,Stewarts School,Co educational,Multi denominational,English,Dublin,Lucan,Special School,Stewarts Care Ltd,137,32,23%,14%,4,28,12,20,3,29,12%,88%,38%,62%,9%,91%,,,,,,,,,,,,,
19542R,St Thomas Junior National School,Co educational,Denominational,English,Dublin,Lucan,Mainstream,Archbishop of Dublin,504,186,37%,6%,4,182,83,103,18,168,2%,98%,45%,55%,10%,90%,81,2,79,32,49,8,73,2%,98%,40%,60%,10%,90%
19676P,Scoil Aine Naofa,Co educational,Denominational,English,Dublin,Lucan,Mainstream,Archbishop of Dublin,531,148,28%,7%,4,144,54,94,16,132,3%,97%,36%,64%,11%,89%,,,,,,,,,,,,,
19817H,St Marys N S,Co educational,Denominational,English,Dublin,Lucan,Mainstream,Archbishop of Dublin,374,165,44%,6%,4,161,72,93,17,148,2%,98%,44%,56%,10%,90%,90,22,68,38,52,11,79,24%,76%,42%,58%,12%,88%
19865S,Divine Mercy Junior National School,Co educational,Denominational,English,Dublin,Lucan,Mainstream,Archbishop of Dublin,168,30,18%,14%,3,27,5,25,2,28,10%,90%,17%,83%,7%,93%,,,,,,,,,,,,,
19940G,Gaelscoil Naomh Padraig,Co educational,Denominational,Irish,Dublin,Lucan,Mainstream,Archbishop of Dublin,260,142,55%,7%,1,141,57,85,134,8,1%,99%,40%,60%,94%,6%,73,3,70,34,39,69,4,4%,96%,47%,53%,95%,5%
20066S,Lucan Educate Together Ns,Co educational,Multi denominational,English,Dublin,Lucan,Mainstream,Lucan Educate Together School,281,72,26%,10%,5,67,59,13,10,62,7%,93%,82%,18%,14%,86%,,,,,,,,,,,,,
20166W,Griffeen Valley Educate Together Ns,Co educational,Multi denominational,English,Dublin,Lucan,Mainstream,Educate Together,349,104,30%,8%,6,98,80,24,9,95,6%,94%,77%,23%,9%,91%,30,1,29,26,4,2,28,3%,97%,87%,13%,7%,93%
20187H,Divine Mercy Senior National School,Co educational,Denominational,English,Dublin,Lucan,Mainstream,Archbishop of Dublin,231,45,20%,12%,2,43,20,25,5,40,4%,96%,44%,56%,11%,89%,,,,,,,,,,,,,
20194E,St. John The Evangelist National School,Co educational,Denominational,English,Dublin,Lucan,Mainstream,Archbishop of Dublin,313,94,30%,8%,4,90,53,41,2,92,4%,96%,56%,44%,2%,98%,,,,,,,,,,,,,
20223I,Gaelscoil Eiscir Riada,Co educational,Denominational,Irish,Dublin,Lucan,Mainstream,An Foras Pátrúnachta,262,165,63%,6%,0,165,75,90,160,5,0%,100%,45%,55%,97%,3%,71,0,71,38,33,71,0,0%,100%,54%,46%,100%,0%
20268H,Adamstown Castle Educate Together National School,Co educational,Multi denominational,English,Dublin,Lucan,Mainstream,Educate Together,328,86,26%,9%,3,83,72,14,5,81,3%,97%,84%,16%,6%,94%,41,2,39,37,4,1,40,5%,95%,90%,10%,2%,98%
20274C,Esker Educate Together Ns,Co educational,Multi denominational,English,Dublin,Lucan,Mainstream,Educate Together,290,94,32%,8%,10,84,74,20,5,89,11%,89%,79%,21%,5%,95%,,,,,,,,,,,,,
20303G,Lucan East Etns,Co educational,Multi denominational,English,Dublin,Lucan,Mainstream,Educate Together,302,88,29%,9%,2,86,70,18,7,81,2%,98%,80%,20%,8%,92%,,,,,,,,,,,,,
20390E,Ballydowd High Support Special School,Co educational,Denominational,English,Dublin,Lucan,Special School,Dublin & Dún Laoghaire ETB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20426W,Lucan Community National School,Co educational,Multi denominational,English,Dublin,Lucan,Mainstream,Dublin & Dún Laoghaire ETB,265,67,25%,10%,4,63,45,22,7,60,6%,94%,67%,33%,10%,90%,,,,,,,,,,,,,
11583O,St Andrews N S,Co educational,Denominational,English,Dublin,Malahide_Nevinstown,Mainstream,Archbishop of Dublin & Bishop of Glendalough COI,151,51,34%,11%,2,49,31,20,4,47,4%,96%,61%,39%,8%,92%,40,0,40,24,16,3,37,0%,100%,60%,40%,7%,92%
17914S,St Oliver Plunkett,Co educational,Denominational,English,Dublin,Malahide_Nevinstown,Mainstream,Archbishop of Dublin,599,233,39%,5%,6,227,114,119,34,199,3%,97%,49%,51%,15%,85%,126,1,125,62,64,23,103,1%,99%,49%,51%,18%,82%
17928G,Sn N Sailbheastar Nfa,Co educational,Denominational,English,Dublin,Malahide_Nevinstown,Mainstream,Archbishop of Dublin,335,143,43%,7%,3,140,68,75,26,117,2%,98%,48%,52%,18%,82%,79,0,79,36,43,14,65,0%,100%,46%,54%,18%,82%
19627C,John Paul II N S,Co educational,Denominational,English,Dublin,Malahide_Nevinstown,Mainstream,Archbishop of Dublin,509,178,35%,6%,4,174,79,99,20,158,2%,98%,44%,56%,11%,89%,,,,,,,,,,,,,
19898K,Gaelscoil an Duinninigh,Co educational,Denominational,Irish,Dublin,Malahide_Nevinstown,Mainstream,Archbishop of Dublin,283,172,61%,6%,1,171,58,114,160,12,1%,99%,34%,66%,93%,7%,75,1,74,33,42,75,0,1%,99%,44%,56%,100%,0%
16675V,Scoil Naomh Lucais,Co educational,Denominational,English,Dublin,Mulhuddart_Tyrrelstown_D15,Mainstream,Archbishop of Dublin,429,122,28%,7%,10,112,30,92,8,114,8%,92%,25%,75%,7%,93%,,,,,,,,,,,,,
19545A,St. Patrick's Junior Ns,Co educational,Denominational,English,Dublin,Mulhuddart_Tyrrelstown_D15,Mainstream,Archbishop of Dublin,137,40,29%,13%,2,38,6,34,6,34,5%,95%,15%,85%,15%,85%,,,,,,,,,,,,,
19636D,St Patricks Senior School,Co educational,Denominational,English,Dublin,Mulhuddart_Tyrrelstown_D15,Mainstream,Archbishop of Dublin,159,57,36%,11%,1,56,12,45,7,50,2%,98%,21%,79%,12%,88%,,,,,,,,,,,,,
19850F,Ladyswell N S,Co educational,Denominational,English,Dublin,Mulhuddart_Tyrrelstown_D15,Mainstream,Archbishop of Dublin,324,62,19%,10%,8,54,21,41,8,54,13%,87%,34%,66%,13%,87%,,,,,,,,,,,,,
20201V,Tyrrelstown Educate Together National School,Co educational,Multi denominational,English,Dublin,Mulhuddart_Tyrrelstown_D15,Mainstream,Educate Together,363,78,22%,9%,1,77,59,19,6,72,1%,99%,76%,24%,8%,92%,,,,,,,,,,,,,
20384J,Powerstown Educate Together National School,Co educational,Multi denominational,English,Dublin,Mulhuddart_Tyrrelstown_D15,Mainstream,Educate Together,268,92,34%,9%,4,88,79,13,7,85,4%,96%,86%,14%,8%,92%,56,3,53,51,5,5,51,5%,95%,91%,9%,9%,91%
20394M,Gaelscoil an Chuilinn,Co educational,Denominational,Irish,Dublin,Mulhuddart_Tyrrelstown_D15,Mainstream,An Foras Pátrúnachta,189,84,44%,9%,0,84,37,47,79,5,0%,100%,44%,56%,94%,6%,43,1,42,16,27,42,1,2%,98%,37%,63%,98%,2%
20548N,Danu Community Special School,Co educational,Multi denominational,English,Dublin,Mulhuddart_Tyrrelstown_D15,Special School,Dublin & Dún Laoghaire ETB,42,5,12%,30%,0,5,2,3,0,5,0%,100%,40%,60%,0%,100%,,,,,,,,,,,,,
13217W,Holy Family National School,Co educational,Denominational,English,Dublin,Newcastle_Rathcoole,Mainstream,Archbishop of Dublin,473,284,60%,5%,1,283,111,173,20,264,0%,100%,39%,61%,7%,93%,102,1,101,42,60,11,91,1%,99%,41%,59%,11%,89%
